level,prompt,answer1,answer2
15,use export to display all variables declared in the current environment,export -p,export
15,display all local variables and function declarations,set,
16,print the last 10 lines of file ‘longfile’ to standard out,tail longfile,
16,print the last 20 lines of file ‘longfile’ to standard out,tail -n 20 longfile,
16,continually check the last 10 lines of the file ‘longfile’ and print changes (Ctrl + C to exit),tail -f longfile,
16,clear the terminal window,clear,
16,list the files in the system log files directory  (in ubuntu check /var/log ),ls /var/log,
16,print the last 10 lines of the syslog file,tail /var/log/syslog,
17,write the output of the command ‘man grep’ to a file called test1,man grep > test1,
17,search and print all lines in file test1 in which the word shell occurs,grep shell test1,grep “shell” test1
17,copy file test1 to new file test2 and search all files in directory for word shell,grep shell *,grep shell test1 test2
17,search and print all lines in file test1 in which the word manual occurs ignoring case,grep -i manual test1,
17,search and print all lines in file test1 which do NOT contain the word grep,grep -v grep test1,
17,search and print all lines in file test1 which match anything (.*),grep .* test1,
17,search all files (but not subdirectories) in directory dir1 for word shell,grep shell dir1/*,
17,search directory dir1 and its subdirectories for word shell,grep -r shell dir1,
17,print the number of occurrences of the word shell in file test1,grep -c shell test1,
17,search and print all lines along with line numbers which contain the word shell in test1,grep -n shell test1,
18,print the version of the Linux kernel you are using,uname -r,
18,print all information available about system kernel and hardware platform,uname -a,
18,print the system hostname as it would appear in a DNS server,hostname,uname -n
18,run the command ls as superuser (ok if this command fails if you do not have root password),sudo ls,
18,type the command you would use to become superuser (ok to fail if you do not have root password),sudo su,
19,show the current process status for active processes in the current shell,ps,
19,show the current process status for all processes on the system,ps -A,ps -e
19,show the current system processes in a tree format (ie showing parent child relationships),ps -e --forest,ps -A --forest
19,show the current system processes in order of %mem they are using,ps -e --sort=%mem,ps -A | grep sys
19,search and print processes which contain the substring sys,ps -e | grep sys,ps -A | grep sys
19,lookup process id (PID) by name for processes including string sys,pgrep sys,
20,"run program to page through syslog (/var/log/syslog), then type q to quit",less /var/sys/log,more /var/sys/log
20,run program to page through syslong (/var/log/syslog) as a background process (use space between all terms),less /var/sys/log &,more /var/sys/log &
20,Print current background jobs,jobs,
20,"NOTE - jobs may not have man or info pages, enter another way to check jobs command options",jobs --help,
20,Print current background jobs along with PID,jobs -l,
20,Send an signal to the background job to kill it using its job# ( %1),kill %1,
20,Again run program to page through syslong (/var/log/syslog) as a background process (use space between all terms),less /var/sys/log &,more /var/sys/log &
20,Get the PID of the background job you ran using pgrep,pgrep less,pgrep more
20,Send a SIGKILL signal to that PID to kill the job,kill -9,kill -s SIGKILL
20,List all possible signals that can be sent to processes using the kill command,kill -l,
21,create a file called ‘test3’ in the current working directory by running man ls > test3,man ls > test1,
21,"run command to print number of lines, words, and bytes in file test3",wc test3,
21,run command to print only the number of lines in file test3,wc -l test3,
21,run command to print only the number of words in file test3,wc -w test3,
21,run this command to generate a copy of test3 with line numbers added named test4 cat -n test3 > test4,cat -n test3 > test4,
21,print a sorted (default sorting) output of test4,sort test4,
21,print a sorted (sort by numerical value) output of test4,sort -g test4,sort -n test4
21,print a reversed sort by numerical value of test4,sort -rg test4,sort -rn test4
21,check if file test4 is sorted using the sort command,sort -c test4,
22,run a command to repeatedly print “hello” to the screen until stopped with Ctrl+C,yes hello,
22,run a command to repeatedly print “hello” to the screen and then send to background while it is running,yes hello,
22,"bring back that job that was stopped into the foreground (ie controlling the terminal), then stop with Ctrl + C",fg %1,
22,run a command to check the location of the program that will run if you type ‘yes’,which yes,whereis yes
22,print that binary file to stdout as if it were normal text (use absolute file paths),cat /usr/bin/yes,cat /usr/bin/yes
22,print only the human readable (ie ascii text) strings in that binary file to stdout,strings /usr/bin/yes,
22,print only the human readable (ie ascii text) strings in that binary file to a file called ‘yes’,strings /usr/bin/yes,
22,"print the human readable (ie ascii text) strings in that binary file to a file called ‘yes2’, removing duplicate lines",strings /usr/bin/yes | sort | uniq,strings /usr/bin/yes | sort -u
22,print lines where files yes and yes2 differ,diff yes yes2,
22,print lines where files yes and yes2 differ in side by side view,diff -y yes yes2,
23,display information about your cpu,lscpu,
23,display information about system hardware (note- restricted if not superuser),lshw,
23,display information about block devices on your system,lsblk,
23,display information about block devices on your system with file system type,lsblk -f,
23,display information about address ranges of available memory,lsmem,
23,display information about pci devices on the system,lspci,
23,display information about usb devices on the system,lsusb,
23,run program to display real-time process by resource usage,top,
23,display the size on disk of a directory named dir1,du,
23,display the side on disk of a directory named dir1 in human readable format,du -h,
23,display the size on disk of all files and directories in the current folder in human readable format,du * -h,
23,display the size on disk of contents of /home as a single number,du -s /home,
23,display the time it takes to run the command to display size of /home as a summary,time du -s /home,
23,display the current usage of system memory,free,
23,display the current usage of system memory in human readable format,free -h,
24,search and list all files in the /home directory whose filename ends with the extension .db,find /home -name *.db,
24,search and list files in the current directory for a file or folder matching dir2,find . -name dir2,
24,search and list all files in the home directory whose size is 5MB or greater,find /home -size +5M,
24,search and list all files in the home directory which are executable,find /home -executable,
24,"search and find all files or folders in the current directory matching ‘dir’, then execute command cat on them",find . dir -exec cat {} \;,
24,search and list files in the /home directory that are empty,find /home -empty,
24,search and find all files or folders ending in .jpg  using locate database ,locate test,
24,create a new empty file called ‘test5’ in current directory,touch test5,
24,search in locate database for file test5,locate test5,
24,run command to update locate database to reflect most recent information (note may require superuser),updatedb,sudo updatedb
24,search in locate database for file test5,locate test5,
24,search locate database for all shell scripts (file extension .sh) and print only number found,locate -c *.sh,
24,search locate database using regular expression /test$ to match only exact filename test,locate -r /test$,
25,list all currently defined command aliases,alias,
26,create a temporary (only for this session) alias so that typing ‘long’ runs the command ‘ls -al’,alias long=’ls -al’,
26,create a (only for this session) alias so that typing ‘back’ runs the command ‘cd -’ (returns you to previous directory),alias back=’cd -’,
26,create a temporary (only for this session) alias so that typing ‘lsf’ runs the commands ‘ls -al’ AND lsattr,alias lsf=’ls -al; lsattr’,
27,remove alias defined for lsf,unalias lsf,
28,"enter command to change your user password, (then type Enter twice to cancel password change)",passwd,
28,enter command to indicate your user password status,passwd -S,
28,enter the command to create a new user (will fail unless superuser),adduser,
29,enter command to print file test6 with all lowercase letters translated to upper case,cat test6 | tr “[a-z]” “[A-Z]”,cat test6 | tr [a-z] [A-Z]
29,enter command to print file test6 with all letters upper and lower case shifted by 13 places (format n-za-mN-ZA-M),cat test6 | tr a-zA-Z n-za-mN-ZA-M,cat test6 | tr a-zA-Z n-za-mN-ZA-M
29,enter command to print file test6 with all parentheses changed to brackets {},cat test6 | tr ‘()’ ‘{}’,cat test6 | tr ‘()’ ‘{}’
29,enter command to print file test6 with all digits removed (format [:digit:] ),cat test6 | tr -d [:digit:],
29,enter command to print file test6 with only digits remaining (the complement set of the last command),cat test6 | tr -cd [:digit:],
29,print a sequence of numbers 1 to 15,seq 15,echo {1..15}
29,print a sequence of numbers 1 to 15 on a single line (single space in between),seq -s “ “ 15,echo {1..15}
30,print information on your current private ip address,ip addr,ip address
30,ping the server at google.com continuously,ping google.com,
30,ping the server at google.com only twice,ping -c 2 google.com,
30,ping the server at amazon.com with an audible alert,ping -a amazon.com,
30,check DNS server to get the ip address of google.com,nslookup google.com,dig google.com
30,run utility to display list of open socket connections,ss,
30,display list of listening socket connections,ss -l,
30,display list of tcp listening socket connections,ss -lt,
30,display list of socket connections along with process using them,ss -p,
30,use command to download page at address http://google.com,wget http://google.com,
30,use command to download all entries found in file download.txt,wget -i download.txt,
30,use telnet protocol to connect to freechess.org port 5000,telnet freechess.org 5000,
30,try to use ssh protocol to connect to freechess.org port 5000 as user,ssh user@freechess.org -p 5000,
31,print all the commands you have entered at the command line,history,
31,repeat the last command you entered (note - not using arrow functionality),!!,
31,repeat the last command you entered as the superuser,sudo !!,
31,search the history command output for “passwd”,history | grep passwd,
31,start a program listening for traffic on port 1234,nc -l 1234,
31,enter command to send messages to localhost (127.0.0.1) port 1234,nc 127.0.0.1 1234,nc localhost 1234
